id,trial,trialord,blink,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8017,12,8,0,9.9876795,0,1,right,first,blue,5,1
8017,13,13,0,9.9876795,0,1,right,first,blue,5,
8018,1,1,3,9.6262836,1,1,left,second,red,4,
8018,2,1,4,9.6262836,1,1,left,second,red,4,0
8018,3,2,0,9.6262836,1,1,left,second,red,4,1
8018,4,4,2,9.6262836,1,1,left,second,red,4,
8018,5,3,3,9.6262836,1,1,left,second,red,4,1
8018,6,4,1,9.6262836,1,1,left,second,red,4,0
8018,7,7,2,9.6262836,1,1,left,second,red,4,
8018,8,5,2,9.6262836,1,1,left,second,red,4,0
8018,9,6,2,9.6262836,1,1,left,second,red,4,1
8018,10,10,1,9.6262836,1,1,left,second,red,4,
8018,11,7,2,9.6262836,1,1,left,second,red,4,1
8018,12,8,2,9.6262836,1,1,left,second,red,4,0
8018,13,13,1,9.6262836,1,1,left,second,red,4,
8019,1,1,1,8.7720737,0,1,left,first,red,1,
8019,2,1,0,8.7720737,0,1,left,first,red,1,1
8019,3,2,1,8.7720737,0,1,left,first,red,1,0
8019,4,4,2,8.7720737,0,1,left,first,red,1,
8019,5,3,0,8.7720737,0,1,left,first,red,1,0
8019,6,4,0,8.7720737,0,1,left,first,red,1,1
8019,7,7,0,8.7720737,0,1,left,first,red,1,
8019,8,5,1,8.7720737,0,1,left,first,red,1,1
8019,9,6,3,8.7720737,0,1,left,first,red,1,0
8019,10,10,2,8.7720737,0,1,left,first,red,1,
8019,11,7,3,8.7720737,0,1,left,first,red,1,0
8019,12,8,5,8.7720737,0,1,left,first,red,1,1
8019,13,13,0,8.7720737,0,1,left,first,red,1,
8020,1,1,3,4.7310061,1,1,right,first,blue,5,
8020,2,1,0,4.7310061,1,1,right,first,blue,5,1
8020,3,2,1,4.7310061,1,1,right,first,blue,5,0
8020,4,4,1,4.7310061,1,1,right,first,blue,5,
8020,5,3,0,4.7310061,1,1,right,first,blue,5,0
8020,6,4,2,4.7310061,1,1,right,first,blue,5,1
8020,7,7,4,4.7310061,1,1,right,first,blue,5,
8020,8,5,0,4.7310061,1,1,right,first,blue,5,1
8020,9,6,3,4.7310061,1,1,right,first,blue,5,0
8020,10,10,3,4.7310061,1,1,right,first,blue,5,
8020,11,7,0,4.7310061,1,1,right,first,blue,5,0
8020,12,8,0,4.7310061,1,1,right,first,blue,5,1
8020,13,13,1,4.7310061,1,1,right,first,blue,5,
8021,1,1,2,4.2710471,0,1,left,first,blue,10,
8021,2,1,5,4.2710471,0,1,left,first,blue,10,1
8021,3,2,2,4.2710471,0,1,left,first,blue,10,0
8021,4,4,2,4.2710471,0,1,left,first,blue,10,
8021,5,3,1,4.2710471,0,1,left,first,blue,10,0
8021,6,4,1,4.2710471,0,1,left,first,blue,10,1
8021,7,7,1,4.2710471,0,1,left,first,blue,10,
8021,8,5,1,4.2710471,0,1,left,first,blue,10,1
8021,9,6,3,4.2710471,0,1,left,first,blue,10,0
8021,10,10,1,4.2710471,0,1,left,first,blue,10,
8021,11,7,1,4.2710471,0,1,left,first,blue,10,0
8021,12,8,0,4.2710471,0,1,left,first,blue,10,1
8021,13,13,1,4.2710471,0,1,left,first,blue,10,
8022,1,1,1,10.77618,1,1,left,second,blue,11,
8022,2,1,1,10.77618,1,1,left,second,blue,11,0
8022,3,2,3,10.77618,1,1,left,second,blue,11,1
8022,4,4,3,10.77618,1,1,left,second,blue,11,
8022,5,3,4,10.77618,1,1,left,second,blue,11,1
8022,6,4,3,10.77618,1,1,left,second,blue,11,0
8022,7,7,2,10.77618,1,1,left,second,blue,11,
8022,8,5,4,10.77618,1,1,left,second,blue,11,0
8022,9,6,5,10.77618,1,1,left,second,blue,11,1
8022,10,10,1,10.77618,1,1,left,second,blue,11,
8022,11,7,3,10.77618,1,1,left,second,blue,11,1
8022,12,8,3,10.77618,1,1,left,second,blue,11,0
8022,13,13,3,10.77618,1,1,left,second,blue,11,
8023,1,1,4,9.1991787,1,1,right,first,red,13,
8023,2,1,0,9.1991787,1,1,right,first,red,13,1
8023,3,2,1,9.1991787,1,1,right,first,red,13,0
8023,4,4,2,9.1991787,1,1,right,first,red,13,
8023,5,3,1,9.1991787,1,1,right,first,red,13,0
8023,6,4,0,9.1991787,1,1,right,first,red,13,1
8023,7,7,0,9.1991787,1,1,right,first,red,13,
8023,8,5,0,9.1991787,1,1,right,first,red,13,1
8023,9,6,0,9.1991787,1,1,right,first,red,13,0
8023,10,10,0,9.1991787,1,1,right,first,red,13,
8023,11,7,0,9.1991787,1,1,right,first,red,13,0
8023,12,8,0,9.1991787,1,1,right,first,red,13,1
8023,13,13,0,9.1991787,1,1,right,first,red,13,
8024,1,1,2,10.513347,0,1,left,first,red,1,
8024,2,1,2,10.513347,0,1,left,first,red,1,1
8024,3,2,0,10.513347,0,1,left,first,red,1,0
8024,4,4,4,10.513347,0,1,left,first,red,1,
8024,5,3,2,10.513347,0,1,left,first,red,1,0
8024,6,4,1,10.513347,0,1,left,first,red,1,1
8024,7,7,5,10.513347,0,1,left,first,red,1,
8024,8,5,3,10.513347,0,1,left,first,red,1,1
8024,9,6,2,10.513347,0,1,left,first,red,1,0
8024,10,10,4,10.513347,0,1,left,first,red,1,
8024,11,7,2,10.513347,0,1,left,first,red,1,0
8024,12,8,2,10.513347,0,1,left,first,red,1,1
8024,13,13,4,10.513347,0,1,left,first,red,1,
8025,1,1,1,2.4312115,1,1,left,second,red,3,
8025,2,1,0,2.4312115,1,1,left,second,red,3,0
8025,3,2,0,2.4312115,1,1,left,second,red,3,1
8025,4,4,1,2.4312115,1,1,left,second,red,3,
8025,5,3,1,2.4312115,1,1,left,second,red,3,1
8025,6,4,0,2.4312115,1,1,left,second,red,3,0
8025,7,7,0,2.4312115,1,1,left,second,red,3,
8025,8,5,2,2.4312115,1,1,left,second,red,3,0
8025,9,6,2,2.4312115,1,1,left,second,red,3,1
8025,10,10,1,2.4312115,1,1,left,second,red,3,
8025,11,7,0,2.4312115,1,1,left,second,red,3,1
8025,12,8,2,2.4312115,1,1,left,second,red,3,0
8025,13,13,1,2.4312115,1,1,left,second,red,3,
8026,1,1,0,10.38193,0,1,left,first,red,1,
