id,trial,trialord,look,lookdir,age,female_baby,female_parent,lullaby_side,lullaby_order,lullaby_character,condition,lultrial
8009,3,2,10529,l,12.353183,1,1,left,second,blue,12,1
8009,3,2,3565,r,12.353183,1,1,left,second,blue,12,1
8009,4,4,7178,l,12.353183,1,1,left,second,blue,12,
8009,4,4,5953,r,12.353183,1,1,left,second,blue,12,
8009,5,3,9709,l,12.353183,1,1,left,second,blue,12,1
8009,5,3,3710,r,12.353183,1,1,left,second,blue,12,1
8009,6,4,4344,l,12.353183,1,1,left,second,blue,12,0
8009,6,4,9744,r,12.353183,1,1,left,second,blue,12,0
8009,7,7,6668,l,12.353183,1,1,left,second,blue,12,
8009,7,7,5531,r,12.353183,1,1,left,second,blue,12,
8009,8,5,4011,l,12.353183,1,1,left,second,blue,12,0
8009,8,5,8722,r,12.353183,1,1,left,second,blue,12,0
8009,9,6,11361,l,12.353183,1,1,left,second,blue,12,1
8009,9,6,2733,r,12.353183,1,1,left,second,blue,12,1
8009,10,10,8290,l,12.353183,1,1,left,second,blue,12,
8009,10,10,5130,r,12.353183,1,1,left,second,blue,12,
8009,11,7,11276,l,12.353183,1,1,left,second,blue,12,1
8009,11,7,2365,r,12.353183,1,1,left,second,blue,12,1
8009,12,8,6563,l,12.353183,1,1,left,second,blue,12,0
8009,12,8,7019,r,12.353183,1,1,left,second,blue,12,0
8009,13,13,7114,l,12.353183,1,1,left,second,blue,12,
8009,13,13,6973,r,12.353183,1,1,left,second,blue,12,
8010,1,1,1520,l,4.1396303,0,1,right,second,blue,8,
8010,1,1,2510,r,4.1396303,0,1,right,second,blue,8,
8010,2,1,8574,l,4.1396303,0,1,right,second,blue,8,0
8010,2,1,0,r,4.1396303,0,1,right,second,blue,8,0
8010,3,2,878,l,4.1396303,0,1,right,second,blue,8,1
8010,3,2,6144,r,4.1396303,0,1,right,second,blue,8,1
8010,4,4,2736,l,4.1396303,0,1,right,second,blue,8,
8010,4,4,880,r,4.1396303,0,1,right,second,blue,8,
8010,5,3,8144,l,4.1396303,0,1,right,second,blue,8,1
8010,5,3,2516,r,4.1396303,0,1,right,second,blue,8,1
8010,6,4,10160,l,4.1396303,0,1,right,second,blue,8,0
8010,6,4,388,r,4.1396303,0,1,right,second,blue,8,0
8010,7,7,2096,l,4.1396303,0,1,right,second,blue,8,
8010,7,7,9086,r,4.1396303,0,1,right,second,blue,8,
8010,8,5,5760,l,4.1396303,0,1,right,second,blue,8,0
8010,8,5,2478,r,4.1396303,0,1,right,second,blue,8,0
8010,9,6,1056,l,4.1396303,0,1,right,second,blue,8,1
8010,9,6,4222,r,4.1396303,0,1,right,second,blue,8,1
8010,10,10,1040,l,4.1396303,0,1,right,second,blue,8,
8010,10,10,3248,r,4.1396303,0,1,right,second,blue,8,
8010,11,7,0,l,4.1396303,0,1,right,second,blue,8,1
8010,11,7,710,r,4.1396303,0,1,right,second,blue,8,1
8010,12,8,3632,l,4.1396303,0,1,right,second,blue,8,0
8010,12,8,22,r,4.1396303,0,1,right,second,blue,8,0
8010,13,13,446,l,4.1396303,0,1,right,second,blue,8,
